company_id,fiscal_year,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,debt_to_equity,equity_ratio
ABB,2012,21.0,626,0,260,907,109,1,0,798,907,0.0,0.7133406835722161
ABB,2014,21.0,767,0,351,1139,98,1,0,1040,1139,0.0,0.6918349429323969
ABB,2015,21.0,916,0,436,1374,96,4,0,1274,1374,0.0,0.6819505094614265
ABB,2016,21.0,1174,0,421,1616,108,3,0,1505,1616,0.0,0.739480198019802
ABB,2017,21.0,1366,0,679,2066,110,6,0,1950,2066,0.0,0.6713455953533398
ABB,2018,21.0,1672,0,723,2416,81,2,0,2333,2416,0.0,0.7007450331125827
ABB,2019,21.0,1987,0,932,2941,105,1,0,2835,2941,0.0,0.6827609656579394
ABB,2020,21.0,2410,175,940,3547,270,2,0,3275,3547,8.333333333333334,0.6853679165491965
ABB,2021,21.0,2581,153,1086,3840,251,1,0,3589,3840,7.285714285714286,0.6776041666666667
ABB,2022,21.0,2799,152,1253,4224,271,1,0,3952,4224,7.238095238095238,0.6676136363636364
ABB,2023,21.0,3167,113,1254,4556,237,4,0,4315,4556,5.380952380952381,0.6997366110623354
ABB,2024,21.0,3678,83,1411,5193,225,10,0,4958,5193,3.9523809523809526,0.7123050259965338
ABB,2024,21.0,3500,60,1481,5063,216,13,0,4834,5063,2.857142857142857,0.6954374876555401
ADANIENSOL,2014,0.1,0,0,0,0,0,0,0,0,0,0.0,inf
ADANIENSOL,2015,1090.0,-7,9701,708,11492,10573,10,0,909,11492,8.9,0.09423947093630351
ADANIENSOL,2016,1100.0,1572,8585,489,11746,10060,258,20,1407,11746,7.804545454545455,0.2274816958964754
ADANIENSOL,2017,1100.0,1847,8975,890,12811,9853,1343,105,1510,12811,8.159090909090908,0.23003668722191867
ADANIENSOL,2018,1100.0,4957,10428,781,17265,9291,2353,0,5621,17265,9.48,0.35082536924413554
ADANIENSOL,2019,1100.0,6943,20137,4379,32558,24412,694,336,7117,32558,18.306363636363635,0.24703605872596596
ADANIENSOL,2020,1100.0,7399,24246,6966,39711,24924,2212,313,12262,39711,22.041818181818183,0.214021303920828
ADANIENSOL,2021,1100.0,7819,27095,7219,43234,26987,5255,442,10550,43234,24.631818181818183,0.20629597076375075
ADANIENSOL,2022,1100.0,8813,29902,7650,47464,30272,5060,561,11572,47464,27.183636363636364,0.20885302545086804
ADANIENSOL,2023,1115.0,10634,34270,7913,53932,32645,6200,1370,13716,53932,30.73542600896861,0.21784840169101832
ADANIENSOL,2024,1115.0,11526,37070,8827,58538,38920,3003,766,15849,58538,33.24663677130045,0.21594519799104855
ADANIENSOL,2024,1201.0,19784,39009,9113,69107,38186,4355,1608,24958,69107,32.4804329725229,0.30365954244866655
ADANIENT,2013,110.0,21286,69332,21143,111871,48770,29248,323,33529,111871,630.290909090909,0.19125600021453282
ADANIENT,2014,110.0,23647,71980,22365,118102,70579,13574,288,33661,118102,654.3636363636364,0.20115662732214526
ADANIENT,2015,110.0,25618,83571,21420,130718,83834,6733,744,39407,130718,759.7363636363636,0.19682063679064857
ADANIENT,2016,110.0,13268,19169,9132,41679,10473,7705,805,22696,41679,174.26363636363635,0.32097699081072
ADANIENT,2017,110.0,14026,20846,12630,47611,13668,7731,1042,25170,47611,189.5090909090909,0.2969061771439373
ADANIENT,2018,110.0,14979,17637,23679,56405,10555,5526,1461,38864,56405,160.33636363636364,0.2675117454126407
ADANIENT,2019,110.0,14646,11243,16537,42536,9020,5765,1511,26240,42536,102.2090909090909,0.3469061500846342
ADANIENT,2020,110.0,16837,12419,17509,46875,10476,7347,1952,27099,46875,112.9,0.361536
ADANIENT,2021,110.0,17049,16227,18231,51617,10838,8825,5503,26451,51617,147.51818181818183,0.3324292384291997
ADANIENT,2022,110.0,22147,41604,37726,101586,30123,23544,4292,43627,101586,378.2181818181818,0.219095150906621
ADANIENT,2023,114.0,32937,53200,55027,141278,56881,24025,6310,54062,141278,466.6666666666667,0.23394300598819348
ADANIENT,2024,114.0,38962,65310,56200,160586,65978,35180,8701,50728,160586,572.8947368421053,0.24333378999414643
ADANIENT,2024,114.0,41782,80427,59445,181768,84751,29745,10322,56949,181768,705.5,0.23049161568592932
ADANIGREEN,2017,1274.0,-71,4347,610,6160,4341,267,26,1525,6160,3.412087912087912,0.1952922077922078
ADANIGREEN,2018,1564.0,-223,9864,4503,15709,9120,1725,87,4777,15709,6.30690537084399,0.0853650773441976
ADANIGREEN,2019,1564.0,369,11142,1582,14658,10388,743,77,3449,14658,7.124040920716112,0.1318733797243826
ADANIGREEN,2020,1564.0,793,14866,1201,18424,12554,1208,476,4186,18424,9.505115089514067,0.12793095961788972
ADANIGREEN,2021,1564.0,636,24209,2283,28692,16429,4452,502,7309,28692,15.478900255754477,0.0766764254844556
ADANIGREEN,2022,1564.0,1050,52832,3508,58954,28452,19999,574,10029,58954,33.78005115089514,0.04433965464599518
ADANIGREEN,2023,1584.0,5720,54223,5382,66909,48336,5291,1149,12133,66909,34.23169191919192,0.10916319179781495
ADANIGREEN,2024,1584.0,8250,64858,13394,88086,62284,6427,1515,17860,88086,40.94570707070707,0.11164089639670322
ADANIGREEN,2024,1584.0,8992,67430,20252,98258,64632,14617,2331,16678,98258,42.56944444444444,0.10763500173013903
ADANIPORTS,2013,401.0,5993,11620,3022,21035,11382,2951,222,6480,21035,28.977556109725686,0.30396957451865936
ADANIPORTS,2014,414.0,8351,12979,2933,24677,13163,2025,63,9426,24677,31.35024154589372,0.355189042428172
ADANIPORTS,2015,414.0,10351,17776,3541,32082,20527,1276,260,10020,32082,42.93719806763285,0.335546412318434
ADANIPORTS,2016,414.0,13091,22342,2538,38385,20883,1967,545,14990,38385,53.966183574879224,0.35183014198254525
ADANIPORTS,2017,414.0,17112,22214,3629,43369,21054,4514,1161,16641,43369,53.65700483091788,0.40411353731928334
ADANIPORTS,2018,414.0,20489,22370,3960,47233,22670,4545,1079,18938,47233,54.033816425120776,0.44255075900323926
ADANIPORTS,2019,414.0,23958,27712,4228,56311,28121,4483,782,22924,56311,66.93719806763285,0.4328106409049742
ADANIPORTS,2020,406.0,25051,30242,6217,61917,32715,3216,1178,24808,61917,74.48768472906404,0.4111471809034675
ADANIPORTS,2021,406.0,30035,35855,8285,74582,48291,3697,2236,20358,74582,88.3128078817734,0.4081547826553324
ADANIPORTS,2022,422.0,41399,47935,8572,98328,62553,4023,3161,28591,98328,113.59004739336493,0.42532137336262305
ADANIPORTS,2023,432.0,44957,53434,13740,112563,72224,6637,7432,26271,112563,123.68981481481481,0.40323196787576737
ADANIPORTS,2024,432.0,52346,49470,14751,116999,75148,10936,4289,26627,116999,114.51388888888889,0.45109787263139
ADANIPORTS,2024,432.0,56744,50485,18354,126015,79136,13328,4489,29062,126015,116.86342592592592,0.4537237630440821
ADANIPOWER,2013,2393.0,1900,41795,8599,54688,29089,18976,22,6600,54688,17.465524446301714,0.07849985371562317
ADANIPOWER,2014,2872.0,3671,44150,8045,58739,46365,3660,115,8599,58739,15.372562674094707,0.11139106896610429
ADANIPOWER,2015,2872.0,2853,44742,8008,58474,45080,191,357,12846,58474,15.578690807799443,0.09790676197968327
ADANIPOWER,2016,3334.0,4134,52729,15597,75794,56941,88,0,18765,75794,15.815536892621475,0.0985302266670185
ADANIPOWER,2017,3857.0,-857,52484,16027,71511,54391,125,164,16831,71511,13.60746694322012,0.04195158786760079
ADANIPOWER,2018,3857.0,-2968,52835,15804,69528,52137,120,0,17271,69528,13.698470313715323,0.012786215625359568
ADANIPOWER,2019,3857.0,3855,46980,13293,67985,50419,350,3,17213,67985,12.180451127819548,0.1134367875266603
ADANIPOWER,2020,3857.0,2624,55199,13346,75025,55846,2347,3,16830,75025,14.311381903033446,0.08638453848717094
ADANIPOWER,2021,3857.0,9256,52519,13175,78806,52851,6439,20,19495,78806,13.61654135338346,0.1663959596985001
ADANIPOWER,2022,3857.0,14600,49145,14379,81981,53274,10270,183,18254,81981,12.741768213637542,0.22513753186713995
ADANIPOWER,2023,3857.0,26019,42350,13596,85821,51451,12880,654,20836,85821,10.980036297640654,0.3481199240279186
ADANIPOWER,2024,3857.0,39288,34616,14248,92009,63016,925,374,27694,92009,8.97485092040446,0.4689215185470986
ADANIPOWER,2024,3857.0,52097,37705,17125,110784,71147,9455,321,29863,110784,9.775732434534612,0.5050729347198152
AMBUJACEM,2012,308.0,8489,60,3487,12345,5951,524,1581,4289,12345,0.19480519480519481,0.7125961927906035
AMBUJACEM,2013,309.0,9153,48,3446,12956,6147,698,1714,4399,12956,0.1553398058252427,0.7303179993825255
AMBUJACEM,2014,310.0,9760,34,3774,13878,6310,692,2097,4780,13878,0.10967741935483871,0.7256088773598501
AMBUJACEM,2015,310.0,9961,35,3827,14133,6170,416,2149,5398,14133,0.11290322580645161,0.7267388381801457
AMBUJACEM,2016,397.0,19424,29,12974,32824,21410,582,175,10657,32824,0.07304785894206549,0.6038569339507678
