company_id,fiscal_year,operating_activity,investing_activity,financing_activity,net_cash_flow,free_cash_flow
TCS,,11615.0,-6038.0,-5729.0,-152.0,17653.0
TCS,,14751.0,-9452.0,-5673.0,-374.0,24203.0
TCS,,19369.0,-1807.0,-17168.0,394.0,21176.0
TCS,,19109.0,-5010.0,-9666.0,4433.0,24119.0
TCS,,25223.0,-16895.0,-11026.0,-2698.0,42118.0
TCS,,25067.0,3104.0,-26885.0,1286.0,21963.0
TCS,,28593.0,1645.0,-27897.0,2341.0,26948.0
TCS,,32369.0,8968.0,-39915.0,1422.0,23401.0
TCS,,38802.0,-7956.0,-32634.0,-1788.0,46758.0
TCS,,39949.0,-738.0,-33581.0,5630.0,40687.0
TCS,,41965.0,548.0,-47878.0,-5365.0,41417.0
TCS,,44338.0,6091.0,-48536.0,1893.0,38247.0
ABB,2012.0,101.0,-59.0,-42.0,1.0,160.0
ABB,2014.0,155.0,-144.0,-42.0,-31.0,299.0
ABB,2015.0,215.0,-187.0,-58.0,-30.0,402.0
ABB,2016.0,249.0,-77.0,-80.0,91.0,326.0
ABB,2017.0,307.0,-155.0,-90.0,62.0,462.0
ABB,2018.0,153.0,-215.0,-102.0,-165.0,368.0
ABB,2019.0,499.0,-257.0,-143.0,99.0,756.0
ABB,2020.0,626.0,-401.0,-217.0,8.0,1027.0
ABB,2021.0,727.0,-72.0,-582.0,73.0,799.0
ABB,2022.0,948.0,-396.0,-637.0,-86.0,1344.0
ABB,2023.0,893.0,-148.0,-639.0,107.0,1041.0
ABB,2024.0,1213.0,-416.0,-745.0,52.0,1629.0
ABB,2014.0,0.0,0.0,0.0,0.0,0.0
ABB,2015.0,-35.0,-1864.0,1902.0,3.0,1829.0
ABB,2016.0,1544.0,-816.0,-722.0,6.0,2360.0
ABB,2017.0,2189.0,-1730.0,-455.0,4.0,3919.0
ABB,2018.0,2198.0,-3192.0,1589.0,596.0,5390.0
ABB,2019.0,2591.0,-3050.0,38.0,-421.0,5641.0
ABB,2020.0,5437.0,-5643.0,1250.0,1045.0,11080.0
ABB,2021.0,3784.0,-4009.0,-745.0,-969.0,7793.0
ABB,2022.0,4097.0,-3936.0,-235.0,-75.0,8033.0
ABB,2023.0,3777.0,-4699.0,923.0,2.0,8476.0
ABB,2024.0,6038.0,-4943.0,-543.0,551.0,10981.0
ADANIENSOL,2014.0,0.0,0.0,0.0,0.0,0.0
ADANIENSOL,2015.0,-35.0,-1864.0,1902.0,3.0,1829.0
ADANIENSOL,2016.0,1544.0,-816.0,-722.0,6.0,2360.0
ADANIENSOL,2017.0,2189.0,-1730.0,-455.0,4.0,3919.0
ADANIENSOL,2018.0,2198.0,-3192.0,1589.0,596.0,5390.0
ADANIENSOL,2019.0,2591.0,-3050.0,38.0,-421.0,5641.0
ADANIENSOL,2020.0,5437.0,-5643.0,1250.0,1045.0,11080.0
ADANIENSOL,2021.0,3784.0,-4009.0,-745.0,-969.0,7793.0
ADANIENSOL,2022.0,4097.0,-3936.0,-235.0,-75.0,8033.0
ADANIENSOL,2023.0,3777.0,-4699.0,923.0,2.0,8476.0
ADANIENSOL,2024.0,6038.0,-4943.0,-543.0,551.0,10981.0
ADANIENT,2013.0,7666.0,-14790.0,7199.0,75.0,22456.0
ADANIENT,2014.0,8228.0,-8007.0,-1109.0,-888.0,16235.0
ADANIENT,2015.0,8532.0,-11465.0,3445.0,512.0,19997.0
ADANIENT,2016.0,5112.0,-1825.0,-3448.0,-161.0,6937.0
ADANIENT,2017.0,774.0,-1460.0,716.0,30.0,2234.0
ADANIENT,2018.0,2942.0,-7649.0,5120.0,413.0,10591.0
ADANIENT,2019.0,3236.0,2487.0,-6158.0,-436.0,749.0
ADANIENT,2020.0,2454.0,-1082.0,-221.0,1151.0,3536.0
ADANIENT,2021.0,4043.0,-8611.0,3109.0,-1459.0,12654.0
ADANIENT,2022.0,1385.0,-17041.0,15901.0,246.0,18426.0
ADANIENT,2023.0,17626.0,-15459.0,-1198.0,970.0,33085.0
ADANIENT,2024.0,10312.0,-18767.0,8879.0,424.0,29079.0
ADANIGREEN,2017.0,28.0,-1511.0,1559.0,76.0,1539.0
ADANIGREEN,2018.0,649.0,-4428.0,3942.0,162.0,5077.0
ADANIGREEN,2019.0,1625.0,-2666.0,1045.0,3.0,4291.0
ADANIGREEN,2020.0,1965.0,-3743.0,2161.0,383.0,5708.0
ADANIGREEN,2021.0,1601.0,-9137.0,7083.0,-453.0,10738.0
ADANIGREEN,2022.0,3127.0,-18730.0,15986.0,383.0,21857.0
ADANIGREEN,2023.0,7265.0,-3857.0,-2973.0,435.0,11122.0
ADANIGREEN,2024.0,7713.0,-21060.0,13953.0,606.0,28773.0
ADANIPORTS,2013.0,1379.0,-5136.0,4138.0,381.0,6515.0
ADANIPORTS,2014.0,1132.0,-2510.0,772.0,-606.0,3642.0
ADANIPORTS,2015.0,3057.0,-2485.0,-237.0,335.0,5542.0
ADANIPORTS,2016.0,2381.0,-4153.0,2170.0,398.0,6534.0
ADANIPORTS,2017.0,4063.0,-2629.0,-1325.0,109.0,6692.0
ADANIPORTS,2018.0,5608.0,-3846.0,-1889.0,-127.0,9454.0
ADANIPORTS,2019.0,6029.0,-4368.0,2313.0,3975.0,10397.0
ADANIPORTS,2020.0,7402.0,-749.0,-4256.0,2397.0,8151.0
ADANIPORTS,2021.0,7556.0,-14064.0,3514.0,-2994.0,21620.0
ADANIPORTS,2022.0,10420.0,-5493.0,-586.0,4341.0,15913.0
ADANIPORTS,2023.0,11900.0,-16716.0,-2734.0,-7550.0,28616.0
ADANIPORTS,2024.0,15018.0,-6768.0,-7800.0,450.0,21786.0
ADANIPOWER,2013.0,3001.0,-4064.0,861.0,-203.0,7065.0
ADANIPOWER,2014.0,3238.0,-4700.0,1631.0,169.0,7938.0
ADANIPOWER,2015.0,5824.0,-4737.0,-1144.0,-58.0,10561.0
ADANIPOWER,2016.0,5257.0,-2692.0,-2713.0,-148.0,7949.0
ADANIPOWER,2017.0,4725.0,-1212.0,-3539.0,-26.0,5937.0
ADANIPOWER,2018.0,5101.0,-520.0,-4600.0,-19.0,5621.0
ADANIPOWER,2019.0,5610.0,-984.0,-4663.0,-37.0,6594.0
ADANIPOWER,2020.0,5598.0,-2304.0,-2377.0,917.0,7902.0
ADANIPOWER,2021.0,7014.0,-2188.0,-5655.0,-828.0,9202.0
ADANIPOWER,2022.0,10233.0,774.0,-10338.0,669.0,9459.0
ADANIPOWER,2023.0,8431.0,1545.0,-10408.0,-433.0,6886.0
ADANIPOWER,2024.0,14170.0,3481.0,-16864.0,787.0,10689.0
AMBUJACEM,2012.0,1860.0,-388.0,-509.0,962.0,2248.0
AMBUJACEM,2013.0,1267.0,-496.0,-672.0,99.0,1763.0
AMBUJACEM,2014.0,1675.0,-456.0,-721.0,498.0,2131.0
AMBUJACEM,2015.0,1557.0,-83.0,-900.0,574.0,1640.0
AMBUJACEM,2016.0,2810.0,-4165.0,-958.0,-2312.0,6975.0
AMBUJACEM,2017.0,3416.0,-738.0,-1015.0,1663.0,4154.0
AMBUJACEM,2018.0,1703.0,-765.0,-719.0,220.0,2468.0
AMBUJACEM,2019.0,4739.0,-1191.0,-629.0,2919.0,5930.0
AMBUJACEM,2020.0,4832.0,-1317.0,-3956.0,-441.0,6149.0
AMBUJACEM,2021.0,5309.0,-2007.0,-516.0,2786.0,7316.0
AMBUJACEM,2023.0,735.0,-14481.0,2931.0,-10815.0,15216.0
AMBUJACEM,2024.0,5646.0,-8941.0,5689.0,2394.0,14587.0
APOLLOHOSP,2013.0,443.0,-733.0,373.0,83.0,1176.0
APOLLOHOSP,2014.0,373.0,-356.0,-63.0,-46.0,729.0
APOLLOHOSP,2015.0,470.0,-759.0,392.0,103.0,1229.0
APOLLOHOSP,2016.0,597.0,-888.0,330.0,39.0,1485.0
APOLLOHOSP,2017.0,623.0,-1152.0,477.0,-52.0,1775.0
APOLLOHOSP,2018.0,537.0,-405.0,-108.0,24.0,942.0
APOLLOHOSP,2019.0,905.0,-711.0,-215.0,-20.0,1616.0
APOLLOHOSP,2020.0,1293.0,-289.0,-910.0,94.0,1582.0
APOLLOHOSP,2021.0,1265.0,-880.0,-340.0,44.0,2145.0
APOLLOHOSP,2022.0,1696.0,-747.0,-792.0,158.0,2443.0
APOLLOHOSP,2023.0,1377.0,-857.0,-633.0,-113.0,2234.0
APOLLOHOSP,2024.0,1920.0,-1537.0,-311.0,72.0,3457.0
ASIANPAINT,2013.0,1187.0,-463.0,-601.0,123.0,1650.0
ASIANPAINT,2014.0,1402.0,-586.0,-626.0,190.0,1988.0
ASIANPAINT,2015.0,1188.0,-465.0,-576.0,147.0,1653.0
ASIANPAINT,2016.0,2243.0,-866.0,-849.0,528.0,3109.0
ASIANPAINT,2017.0,1527.0,-681.0,-756.0,90.0,2208.0
ASIANPAINT,2018.0,2113.0,-1556.0,-1379.0,-822.0,3669.0
ASIANPAINT,2019.0,2470.0,-918.0,-1117.0,434.0,3388.0
ASIANPAINT,2020.0,3038.0,-518.0,-2871.0,-351.0,3556.0
ASIANPAINT,2021.0,3683.0,-541.0,-650.0,2492.0,4224.0
ASIANPAINT,2022.0,986.0,-317.0,-1808.0,-1138.0,1303.0
ASIANPAINT,2023.0,4193.0,-1282.0,-2140.0,771.0,5475.0
ASIANPAINT,2024.0,6104.0,-2548.0,-2982.0,573.0,8652.0
AGTL,2018.0,277.0,-988.0,779.0,68.0,1265.0
AGTL,2019.0,356.0,791.0,-1077.0,70.0,-435.0
AGTL,2020.0,492.0,-461.0,-102.0,-71.0,953.0
AGTL,2021.0,654.0,-770.0,39.0,-78.0,1424.0
AGTL,2022.0,732.0,-1133.0,422.0,21.0,1865.0
AGTL,2023.0,853.0,-1167.0,295.0,-19.0,2020.0
AGTL,2024.0,955.0,-752.0,-78.0,125.0,1707.0
