company_id,fiscal_year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,net_margin,operating_margin
ABB,2012.0,1653,1451,202.0,12.0,33,0,19,215,33.0,145,68.0,25.0,0.08771929824561403,0.12220205686630368
ABB,2014.0,2276,2009,267.0,12.0,49,0,22,295,33.0,198,93.0,25.0,0.08699472759226713,0.11731107205623902
ABB,2015.0,2289,1977,312.0,14.0,48,0,15,344,34.0,229,108.0,29.0,0.1000436871996505,0.1363040629095675
ABB,2016.0,2614,2250,365.0,14.0,50,3,14,398,36.0,255,120.0,29.0,0.09755164498852334,0.1396327467482785
ABB,2017.0,2903,2505,398.0,14.0,57,2,16,436,37.0,277,130.0,31.0,0.09541853255253187,0.13709955218739237
ABB,2018.0,3298,2774,525.0,16.0,117,4,16,621,35.0,401,189.0,29.0,0.12158884172225591,0.15918738629472406
ABB,2019.0,3679,3074,605.0,16.0,113,2,17,699,36.0,450,212.0,31.0,0.12231584669747214,0.16444686055993477
ABB,2020.0,4093,3336,757.0,18.0,114,9,60,803,26.0,593,279.0,90.0,0.14488150500855118,0.1849499144881505
ABB,2021.0,4310,3388,922.0,21.0,81,18,58,926,25.0,691,325.0,85.0,0.1603248259860789,0.21392111368909514
ABB,2022.0,4913,3832,1082.0,22.0,83,19,66,1080,26.0,799,376.0,73.0,0.16262975778546712,0.22023203745165887
ABB,2023.0,5349,4143,1206.0,23.0,154,16,70,1274,25.0,949,447.0,73.0,0.1774163395027108,0.22546270330902973
ABB,2024.0,5849,4396,1453.0,25.0,248,12,71,1618,26.0,1201,565.0,73.0,0.20533424517011456,0.24841853308257822
ABB,,6066,4519,1547.0,26.0,265,11,72,1728,,1285,605.0,,0.21183646554566435,0.25502802505769867
ADANIENSOL,2014.0,0,0,0.0,,0,0,0,0,0.0,0,0.0,,,
ADANIENSOL,2015.0,131,29,101.0,78.0,3,73,37,-5,34.0,-7,0.0,0.0,-0.05343511450381679,0.7709923664122137
ADANIENSOL,2016.0,2194,267,1927.0,88.0,70,957,560,480,23.0,368,3.0,0.0,0.16773017319963537,0.8783044667274384
ADANIENSOL,2017.0,2876,893,1983.0,69.0,22,904,569,532,22.0,416,4.0,0.0,0.14464534075104313,0.6894993045897079
ADANIENSOL,2018.0,3944,1118,2826.0,72.0,111,886,579,1472,22.0,1143,10.0,0.0,0.2898073022312373,0.7165314401622718
ADANIENSOL,2019.0,7305,4528,2778.0,38.0,336,1391,882,840,33.0,559,5.0,0.0,0.07652292950034223,0.38028747433264887
ADANIENSOL,2020.0,11416,7158,4258.0,37.0,261,2238,1174,1107,36.0,706,7.0,0.0,0.06184302733006307,0.3729852838121934
ADANIENSOL,2021.0,9926,5976,3950.0,40.0,1115,2117,1329,1620,20.0,1290,11.0,0.0,0.12996171670360668,0.3979447914567802
ADANIENSOL,2022.0,11258,7051,4206.0,37.0,1286,2365,1427,1700,27.0,1236,11.0,0.0,0.10978859477704743,0.373600994848108
ADANIENSOL,2023.0,13293,8775,4518.0,34.0,1583,2781,1608,1712,25.0,1281,11.0,0.0,0.09636650868878358,0.33987813134732564
ADANIENSOL,2024.0,16607,10896,5711.0,30.0,611,2767,1776,1780,33.0,1196,10.0,0.0,0.07201782380923707,0.3438911302462817
